,sampleid,sequencing type
346,C0052-7E-1A_amp,amplicon
347,C0052-7E-1A_amp,amplicon
348,C0052-7E-1A_amp,amplicon
349,C0052-7E-1A_amp,amplicon
350,C0052-7E-1A_amp,amplicon
351,C0052-7E-1A_amp,amplicon
352,C0052-7E-1A_amp,amplicon
353,C0052-7E-1A_amp,amplicon
354,C0052-7E-1A_amp,amplicon
355,C0052-7E-1A_amp,amplicon
356,C0052-7E-1A_amp,amplicon
357,C0052-7E-1A_amp,amplicon
358,C0052-7E-1A_amp,amplicon
359,C0052-7E-1A_amp,amplicon
360,C0052-7E-1A_amp,amplicon
361,C0052-7E-1A_amp,amplicon
362,C0052-7E-1A_amp,amplicon
363,C0052-7E-1A_amp,amplicon
364,C0052-7E-1A_amp,amplicon
365,C0052-7E-1A_amp,amplicon
366,C0052-7E-1A_amp,amplicon
367,C0052-7E-1A_amp,amplicon
368,C0052-7E-1A_amp,amplicon
369,C0052-7E-1A_amp,amplicon
370,C0052-7E-1A_amp,amplicon
371,C0052-7E-1A_amp,amplicon
372,C0052-7E-1A_amp,amplicon
373,C0052-7E-1A_amp,amplicon
374,C0052-7E-1A_amp,amplicon
375,C0052-7E-1A_amp,amplicon
376,C0052-7E-1A_amp,amplicon
377,C0052-7E-1A_amp,amplicon
378,C0052-7E-1A_amp,amplicon
379,C0052-7E-1A_amp,amplicon
380,C0052-7E-1A_amp,amplicon
381,C0052-7E-1A_amp,amplicon
382,C0052-7E-1A_amp,amplicon
383,C0052-7E-1A_amp,amplicon
384,C0052-7E-1A_amp,amplicon
385,C0052-7E-1A_amp,amplicon
386,C0052-7E-1A_amp,amplicon
387,C0052-7E-1A_amp,amplicon
388,C0052-7E-1A_amp,amplicon
389,C0052-7E-1A_amp,amplicon
390,C0052-7E-1A_amp,amplicon
391,C0052-7E-1A_amp,amplicon
392,C0052-7E-1A_amp,amplicon
393,C0052-7E-1A_amp,amplicon
394,C0052-7E-1A_amp,amplicon
395,C0052-7E-1A_amp,amplicon
396,C0052-7E-1A_amp,amplicon
397,C0052-7E-1A_amp,amplicon
398,C0052-7E-1A_amp,amplicon
399,C0052-7E-1A_amp,amplicon
400,C0052-7E-1A_amp,amplicon
401,C0052-7E-1A_amp,amplicon
402,C0052-7E-1A_amp,amplicon
403,C0052-7E-1A_amp,amplicon
404,C0052-7E-1A_amp,amplicon
405,C0052-7E-1A_amp,amplicon
406,C0052-7E-1A_amp,amplicon
407,C0052-7E-1A_amp,amplicon
408,C0052-7E-1A_amp,amplicon
409,C0052-7E-1A_amp,amplicon
410,C0052-7E-1A_amp,amplicon
411,C0052-7E-1A_amp,amplicon
412,C0052-7E-1A_amp,amplicon
413,C0052-7E-1A_amp,amplicon
414,C0052-7E-1A_amp,amplicon
415,C0052-7E-1A_amp,amplicon
416,C0052-7E-1A_amp,amplicon
417,C0052-7E-1A_amp,amplicon
418,C0052-7E-1A_amp,amplicon
419,C0052-7E-1A_amp,amplicon
420,C0052-7E-1A_amp,amplicon
421,C0052-7E-1A_amp,amplicon
422,C0052-7E-1A_amp,amplicon
423,C0052-7E-1A_amp,amplicon
424,C0052-7E-1A_amp,amplicon
425,C0052-7E-1A_amp,amplicon
426,C0052-7E-1A_amp,amplicon
427,C0052-7E-1A_amp,amplicon
428,C0052-7E-1A_amp,amplicon
429,C0052-7E-1A_amp,amplicon
430,C0052-7E-1A_amp,amplicon
431,C0052-7E-1A_amp,amplicon
432,C0052-7E-1A_amp,amplicon
433,C0052-7E-1A_amp,amplicon
434,C0052-7E-1A_amp,amplicon
435,C0052-7E-1A_amp,amplicon
436,C0052-7E-1A_amp,amplicon
437,C0052-7E-1A_amp,amplicon
438,C0052-7E-1A_amp,amplicon
439,C0052-7E-1A_amp,amplicon
440,C0052-7E-1A_amp,amplicon
441,C0052-7E-1A_amp,amplicon
442,C0052-7E-1A_amp,amplicon
443,C0052-7E-1A_amp,amplicon
444,C0052-7E-1A_amp,amplicon
445,C0052-7E-1A_amp,amplicon
446,C0052-7E-1A_amp,amplicon
447,C0052-7E-1A_amp,amplicon
448,C0052-7E-1A_amp,amplicon
449,C0052-7E-1A_amp,amplicon
450,C0052-7E-1A_amp,amplicon
451,C0052-7E-1A_amp,amplicon
452,C0052-7E-1A_amp,amplicon
453,C0052-7E-1A_amp,amplicon
454,C0052-7E-1A_amp,amplicon
455,C0052-7E-1A_amp,amplicon
456,C0052-7E-1A_amp,amplicon
457,C0052-7E-1A_amp,amplicon
458,C0052-7E-1A_amp,amplicon
459,C0052-7E-1A_amp,amplicon
460,C0052-7E-1A_amp,amplicon
461,C0052-7E-1A_amp,amplicon
462,C0052-7E-1A_amp,amplicon
463,C0052-7E-1A_amp,amplicon
464,C0052-7E-1A_amp,amplicon
465,C0052-7E-1A_amp,amplicon
466,C0052-7E-1A_amp,amplicon
467,C0052-7E-1A_amp,amplicon
468,C0052-7E-1A_amp,amplicon
469,C0052-7E-1A_amp,amplicon
470,C0052-7E-1A_amp,amplicon
471,C0052-7E-1A_amp,amplicon
472,C0052-7E-1A_amp,amplicon
473,C0052-7E-1A_amp,amplicon
474,C0052-7E-1A_amp,amplicon
475,C0052-7E-1A_amp,amplicon
476,C0052-7E-1A_amp,amplicon
477,C0052-7E-1A_amp,amplicon
478,C0052-7E-1A_amp,amplicon
479,C0052-7E-1A_amp,amplicon
480,C0052-7E-1A_amp,amplicon
481,C0052-7E-1A_amp,amplicon
482,C0052-7E-1A_amp,amplicon
483,C0052-7E-1A_amp,amplicon
484,C0052-7E-1A_amp,amplicon
485,C0052-7E-1A_amp,amplicon
486,C0053-8E-1A_amp,amplicon
487,C0053-8E-1A_amp,amplicon
488,C0053-8E-1A_amp,amplicon
489,C0053-8E-1A_amp,amplicon
490,C0053-8E-1A_amp,amplicon
491,C0053-8E-1A_amp,amplicon
492,C0053-8E-1A_amp,amplicon
493,C0053-8E-1A_amp,amplicon
494,C0053-8E-1A_amp,amplicon
495,C0053-8E-1A_amp,amplicon
496,C0053-8E-1A_amp,amplicon
497,C0053-8E-1A_amp,amplicon
498,C0053-8E-1A_amp,amplicon
499,C0053-8E-1A_amp,amplicon
500,C0053-8E-1A_amp,amplicon
501,C0053-8E-1A_amp,amplicon
502,C0053-8E-1A_amp,amplicon
503,C0053-8E-1A_amp,amplicon
504,C0053-8E-1A_amp,amplicon
505,C0053-8E-1A_amp,amplicon
506,C0053-8E-1A_amp,amplicon
507,C0053-8E-1A_amp,amplicon
508,C0053-8E-1A_amp,amplicon
509,C0053-8E-1A_amp,amplicon
